"Date","specimen","timepoint_mo","Condition","CD45_count","Tcells_count","Vd2_pos","Vd2_neg","Va7.2_pos","Va7.2_neg","CD4_pos","CD8_pos"
"2025-07-26","INF0052",0,"Ctrl",915203,164771,0.01,0.99,0.01,0.98,0.63,0.27
"2025-07-26","INF0100",0,"Ctrl",1438047,208241,0.01,0.99,0.02,0.98,0.61,0.34
"2025-07-26","INF0100",4,"Ctrl",820570,371723,0,1,0.02,0.98,0.66,0.29
"2025-07-26","INF0100",9,"Ctrl",271304,111552,0.01,0.99,0.02,0.97,0.44,0.49
"2025-07-26","INF0179",0,"Ctrl",940733,291777,0,1,0.01,0.98,0.74,0.2
"2025-07-26","INF0179",4,"Ctrl",675857,271870,0.01,0.99,0.01,0.98,0.59,0.36
"2025-07-26","INF0179",9,"Ctrl",921660,487937,0,1,0.01,0.98,0.7,0.26
"2025-07-26","INF0186",4,"Ctrl",701657,220634,0.01,0.99,0.04,0.95,0.57,0.36
"2025-07-26","INF0186",9,"Ctrl",1066884,415867,0.02,0.98,0.04,0.95,0.51,0.41
"2025-07-26","INF0052",0,"PPD",1017713,184930,0.01,0.99,0.02,0.98,0.63,0.27
"2025-07-26","INF0100",0,"PPD",1447451,211987,0.01,0.99,0.02,0.98,0.61,0.33
"2025-07-26","INF0100",4,"PPD",745037,326378,0.01,0.99,0.02,0.98,0.66,0.29
"2025-07-26","INF0100",9,"PPD",589379,238021,0.01,0.99,0.02,0.97,0.43,0.49
"2025-07-26","INF0179",0,"PPD",947858,294549,0,1,0.01,0.98,0.75,0.19
"2025-07-26","INF0179",4,"PPD",803170,331680,0,1,0.01,0.98,0.63,0.32
"2025-07-26","INF0179",9,"PPD",1088038,577228,0,1,0.01,0.98,0.7,0.26
"2025-07-26","INF0186",4,"PPD",596869,190855,0.01,0.99,0.04,0.95,0.53,0.39
"2025-07-26","INF0186",9,"PPD",991089,365177,0.02,0.98,0.04,0.94,0.5,0.42
"2025-07-26","INF0052",0,"SEB",1092762,201287,0.01,0.99,0.01,0.98,0.61,0.28
"2025-07-26","INF0100",0,"SEB",1355873,191734,0.01,0.99,0.01,0.98,0.61,0.34
"2025-07-26","INF0100",4,"SEB",710627,306146,0,1,0.01,0.99,0.64,0.31
